NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Pajak;Rp8.850.600;Rp9.588.050;Rp14.475.850;Rp31.302.460;Rp10.393.450;Rp9.867.750;Rp6.605.000;Rp6.865.000;Rp6.450.000;Rp6.600.000; Rp- ; Rp- ;Rp110.998.160;
;;Setor;Rp8.850.600;Rp9.588.050;Rp14.475.850;Rp31.302.460;Rp10.393.450;Rp9.867.750;Rp6.605.000;Rp6.865.000;Rp6.450.000;Rp6.600.000; Rp- ; Rp- ;Rp110.998.160;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
107;32.78.1.0000471.02.006 / RM. STROBERY / JL.R IKIK WIRADIKARTA Kelurahan Yudanagara Kecamatan Cihideung  Tasikmalaya;Omset;Rp277.295.000;Rp252.500.000;Rp278.575.000;Rp310.615.000;Rp331.500.000;Rp212.124.000;Rp224.350.000;Rp202.755.650;Rp182.600.000;Rp201.370.000; Rp- ; Rp- ;Rp2.473.684.650;AKTIF
;;Pajak;Rp27.729.500;Rp25.250.000;Rp27.857.500;Rp31.061.500;Rp33.150.000;Rp21.212.400;Rp22.435.000;Rp20.275.565;Rp18.260.000;Rp20.137.000; Rp- ; Rp- ;Rp247.368.465;
;;Setor;Rp27.729.500;Rp25.250.000;Rp27.857.500;Rp31.061.500;Rp33.150.000;Rp21.212.400;Rp22.435.000;Rp20.275.565;Rp18.260.000;Rp20.137.000; Rp- ; Rp- ;Rp247.368.465;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
108;32.78.1.0002868.00.000 / RAJA KASTROL / Dusun Sindangsari Ds. Cijulang Kec. Cineam Tasikmalaya;Omset;Rp12.960.000;Rp15.020.000;Rp24.105.000;Rp33.905.000;Rp13.225.000;Rp7.025.000;Rp19.700.000;Rp22.914.500;Rp16.375.000; Rp- ; Rp- ; Rp- ;Rp165.229.500;AKTIF
;;Pajak;Rp1.296.000;Rp1.502.000;Rp2.410.500;Rp3.390.500;Rp1.322.500;Rp702.500;Rp1.970.000;Rp2.291.450;Rp1.637.500; Rp- ; Rp- ; Rp- ;Rp16.522.950;
;;Setor;Rp1.296.000;Rp1.502.000;Rp2.410.500;Rp3.390.500;Rp1.322.500;Rp702.500;Rp1.970.000;Rp2.291.450;Rp1.637.500; Rp- ; Rp- ; Rp- ;Rp16.522.950;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
109;32.78.1.0002883.08.002 / AYAM KRIUK PADASUKA / Jl. Empang No.43 Empangsari. Kec. Tawang. Tasikmalaya;Omset;Rp51.858.300;Rp52.258.300;Rp50.569.800;Rp60.749.600;Rp63.105.600;Rp64.255.600;Rp61.690.600;Rp63.855.600;Rp63.855.600;Rp68.800.600; Rp- ; Rp- ;Rp600.999.600;AKTIF
;;Pajak;Rp5.185.830;Rp5.225.830;Rp5.056.980;Rp6.074.960;Rp6.310.560;Rp6.425.560;Rp6.169.060;Rp6.385.560;Rp6.385.560;Rp6.880.060; Rp- ; Rp- ;Rp60.099.960;
;;Setor;Rp5.185.830;Rp5.225.830;Rp5.056.980;Rp6.074.960;Rp6.310.560;Rp6.425.560;Rp6.169.060;Rp6.385.560;Rp6.385.560;Rp6.880.060; Rp- ; Rp- ;Rp60.099.960;
;;Denda; Rp- ;Rp104.517;Rp50.570; Rp- ; Rp- ;Rp64.256;Rp61.691; Rp- ;Rp63.856;Rp68.801; Rp- ; Rp- ;Rp413.691;
;;Setor Denda; Rp- ;Rp104.517;Rp50.570; Rp- ; Rp- ;Rp64.256;Rp61.691; Rp- ;Rp63.856;Rp68.801; Rp- ; Rp- ;Rp413.691;
110;32.78.1.0002912.08.001 / COBEK PAWONKU / Jl. Siliwangi;Omset;Rp1.602.770;Rp524.700;Rp1.065.600;Rp435.000;Rp542.100;Rp429.000;Rp789.000;Rp471.500;Rp478.550;Rp503.500;Rp572.000; Rp- ;Rp7.413.720;AKTIF
;;Pajak;Rp160.277;Rp52.470;Rp106.560;Rp43.500;Rp54.210;Rp42.900;Rp78.900;Rp47.150;Rp47.855;Rp50.350;Rp57.200; Rp- ;Rp741.372;
;;Setor;Rp160.277;Rp52.470;Rp106.560;Rp43.500;Rp54.210;Rp42.900;Rp78.900;Rp47.150;Rp47.855;Rp50.350;Rp57.200; Rp- ;Rp741.372;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp472; Rp- ;Rp504; Rp- ; Rp- ;Rp976;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp472; Rp- ;Rp504; Rp- ; Rp- ;Rp976;
111;32.78.1.0002980.04.006 / SAUNG ADILA / Jl. Cigeureung Rt. 001 Rw. 011;Omset;Rp62.000.000;Rp45.000.000;Rp52.000.000;Rp85.000.000;Rp45.000.000;Rp47.000.000;Rp50.000.000;Rp35.000.000;Rp37.000.000;Rp35.500.000; Rp- ; Rp- ;Rp493.500.000;AKTIF
;;Pajak;Rp6.200.000;Rp4.500.000;Rp5.200.000;Rp8.500.000;Rp4.500.000;Rp4.700.000;Rp5.000.000;Rp3.500.000;Rp3.700.000;Rp3.550.000; Rp- ; Rp- ;Rp49.350.000;
;;Setor;Rp6.200.000;Rp4.500.000;Rp5.200.000;Rp8.500.000;Rp4.500.000;Rp4.700.000;Rp5.000.000;Rp3.500.000;Rp3.700.000; Rp- ; Rp- ; Rp- ;Rp45.800.000;
;;Denda;Rp62.000; Rp- ; Rp- ;Rp85.000;Rp45.000;Rp47.000;Rp50.000;Rp35.000;Rp74.000; Rp- ; Rp- ; Rp- ;Rp336.000;
;;Setor Denda;Rp62.000; Rp- ; Rp- ;Rp85.000;Rp45.000;Rp47.000;Rp50.000;Rp35.000;Rp74.000; Rp- ; Rp- ; Rp- ;Rp336.000;
112;32.78.1.0003033.01.003 / SAUNG KAI 3 / Jl. Basir Surya Ciherang. Kec. Cibeureum. Tasikmalaya. Jawa Barat 46196;Omset;Rp3.060.000;Rp2.920.000;Rp2.800.000;Rp2.670.000;Rp3.110.000;Rp2.650.000;Rp2.220.000;Rp2.690.000;Rp2.260.000;Rp2.720.000; Rp- ; Rp- ;Rp27.100.000;AKTIF
;;Pajak;Rp306.000;Rp292.000;Rp280.000;Rp267.000;Rp311.000;Rp265.000;Rp222.000;Rp269.000;Rp226.000;Rp272.000; Rp- ; Rp- ;Rp2.710.000;
;;Setor;Rp306.000;Rp292.000;Rp280.000;Rp267.000;Rp311.000;Rp265.000;Rp222.000;Rp269.000;Rp226.000;Rp272.000; Rp- ; Rp- ;Rp2.710.000;
;;Denda; Rp- ; Rp- ;Rp2.800; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.800;
;;Setor Denda; Rp- ; Rp- ;Rp2.800; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.800;
113;32.78.1.0003053.03.004 / R.M. WARUNG ANGSANA / Jl. Moch. Hatta No. 77A;Omset;Rp6.926.550;Rp7.353.450;Rp6.109.650;Rp7.599.200;Rp6.497.000;Rp6.631.750;Rp6.437.350;Rp6.696.600;Rp6.374.300;Rp6.426.800; Rp- ; Rp- ;Rp67.052.650;AKTIF
;;Pajak;Rp692.655;Rp735.345;Rp610.965;Rp759.920;Rp649.700;Rp663.175;Rp643.735;Rp669.660;Rp637.430;Rp642.680; Rp- ; Rp- ;Rp6.705.265;
;;Setor;Rp692.655;Rp735.345;Rp610.965;Rp759.920;Rp649.700;Rp663.175;Rp643.735;Rp669.660;Rp637.430;Rp642.680; Rp- ; Rp- ;Rp6.705.265;
;;Denda; Rp- ;Rp22.060;Rp12.219;Rp7.599; Rp- ;Rp13.264;Rp6.437;Rp13.393;Rp6.374; Rp- ; Rp- ; Rp- ;Rp81.346;
;;Setor Denda; Rp- ;Rp22.060;Rp12.219;Rp7.599; Rp- ;Rp13.264;Rp6.437;Rp13.393;Rp6.374; Rp- ; Rp- ; Rp- ;Rp81.346;
114;32.78.1.0003607.06.002 / WARUNG NASI Hj. OCOH MANGIN / Jl. Mangkubumi Indihiang (Mangin);Omset;Rp50.210.000;Rp50.110.000;Rp50.020.000;Rp50.040.000;Rp50.030.000;Rp50.050.000;Rp50.020.000;Rp50.050.000;Rp50.030.000;Rp50.050.000; Rp- ; Rp- ;Rp500.610.000;AKTIF
;;Pajak;Rp5.021.000;Rp5.011.000;Rp5.002.000;Rp5.004.000;Rp5.003.000;Rp5.005.000;Rp5.002.000;Rp5.005.000;Rp5.003.000;Rp5.005.000; Rp- ; Rp- ;Rp50.061.000;
;;Setor;Rp5.021.000;Rp5.011.000;Rp5.002.000;Rp5.004.000;Rp5.003.000;Rp5.005.000;Rp5.002.000;Rp5.005.000;Rp5.003.000;Rp5.005.000; Rp- ; Rp- ;Rp50.061.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp50.030;Rp50.050; Rp- ; Rp- ;Rp100.080;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp50.030;Rp50.050; Rp- ; Rp- ;Rp100.080;
115;32.78.1.0003902.06.005 / SOTO AYAM NONOY / Jl. Ir. H. Juanda;Omset;Rp5.000.000;Rp5.000.000;Rp5.000.000; Rp- ; Rp- ; Rp- ;Rp500.000;Rp5.000.000;Rp5.000.000; Rp- ; Rp- ; Rp- ;Rp25.500.000;AKTIF
;;Pajak;Rp500.000;Rp500.000;Rp500.000; Rp- ; Rp- ; Rp- ;Rp50.000;Rp500.000;Rp500.000; Rp- ; Rp- ; Rp- ;Rp2.550.000;
;;Setor;Rp500.000;Rp500.000;Rp500.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.500.000;
;;Denda;Rp30.000;Rp25.000;Rp20.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp45.000;
;;Setor Denda;Rp30.000;Rp25.000;Rp20.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp45.000;
116;32.78.1.0004349.03.003 / RODA BARU 36 / JL. IR. H. JUANDA NO. 104;Omset;Rp16.272.410;Rp18.718.970;Rp19.826.200;Rp16.342.420;Rp18.502.580;Rp15.481.570;Rp17.435.420;Rp19.365.820;Rp16.854.940;Rp18.933.000; Rp- ; Rp- ;Rp177.733.330;AKTIF
;;Pajak;Rp1.627.241;Rp1.871.897;Rp1.982.620;Rp1.634.242;Rp1.850.258;Rp1.548.157;Rp1.743.542;Rp1.936.582;Rp1.685.494;Rp1.893.300; Rp- ; Rp- ;Rp17.773.333;
;;Setor;Rp1.627.241;Rp1.871.897;Rp1.982.620;Rp1.634.242;Rp1.850.258;Rp1.548.157;Rp1.743.542;Rp1.936.582;Rp1.685.494;Rp1.893.300; Rp- ; Rp- ;Rp17.773.333;
;;Denda; Rp- ;Rp18.719; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp18.719;
;;Setor Denda; Rp- ;Rp18.719; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp18.719;
117;32.78.1.0004369.01.010 / SAUNG KOPI HAWWU / JL. LETJEN MASHUDI;Omset;Rp49.000.000;Rp48.000.000;Rp46.000.000;Rp45.000.000;Rp48.000.000;Rp48.000.000;Rp47.000.000;Rp48.000.000;Rp46.000.000;Rp48.000.000; Rp- ; Rp- ;Rp473.000.000;AKTIF
;;Pajak;Rp4.900.000;Rp4.800.000;Rp4.600.000;Rp4.500.000;Rp4.800.000;Rp4.800.000;Rp4.700.000;Rp4.800.000;Rp4.600.000;Rp4.800.000; Rp- ; Rp- ;Rp47.300.000;
;;Setor;Rp4.900.000;Rp4.800.000;Rp4.600.000;Rp4.500.000;Rp4.800.000;Rp4.800.000;Rp4.700.000;Rp4.800.000;Rp4.600.000; Rp- ; Rp- ; Rp- ;Rp42.500.000;
;;Denda;Rp49.000;Rp48.000;Rp46.000;Rp45.000;Rp48.000;Rp48.000; Rp- ; Rp- ;Rp92.000; Rp- ; Rp- ; Rp- ;Rp327.000;
;;Setor Denda;Rp49.000;Rp48.000;Rp46.000;Rp45.000;Rp48.000;Rp48.000; Rp- ; Rp- ;Rp92.000; Rp- ; Rp- ; Rp- ;Rp327.000;
118;32.78.1.0004635.08.002 / BEBEK & AYAM KAMPUNG MAS BUDI /  JL. SUTISNA SENJAYA NO. 71;Omset;Rp27.385.220;Rp25.745.390;Rp22.743.880;Rp31.281.060;Rp31.425.390;Rp25.850.580;Rp28.785.480;Rp27.915.740;Rp27.339.030;Rp24.752.900;Rp26.869.070; Rp- ;Rp300.093.740;AKTIF
;;Pajak;Rp2.738.522;Rp2.574.539;Rp2.274.388;Rp3.128.106;Rp3.142.539;Rp2.585.058;Rp2.878.548;Rp2.791.574;Rp2.733.903;Rp2.475.290;Rp2.686.907; Rp- ;Rp30.009.374;
;;Setor;Rp2.738.522;Rp2.574.539;Rp2.274.388;Rp3.128.106;Rp3.142.539;Rp2.585.058;Rp2.878.548;Rp2.791.574;Rp2.733.903;Rp2.475.290;Rp2.686.907; Rp- ;Rp30.009.374;
;;Denda; Rp- ; Rp- ;Rp90.976; Rp- ;Rp62.851;Rp25.851; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp179.678;
;;Setor Denda; Rp- ; Rp- ;Rp90.976; Rp- ;Rp62.851;Rp25.851; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp179.678;
119;32.78.1.0004636.08.003 / BEBEK & AYAM KAMPUNG MAS BUDI HZ / JL. HZ. MUSTOFA NO. 299;Omset;Rp96.206.180;Rp99.300.880;Rp91.846.460;Rp101.749.570;Rp111.175.830;Rp104.839.770;Rp114.495.500;Rp113.409.190;Rp105.416.370;Rp97.583.030;Rp101.169.000; Rp- ;Rp1.137.191.780;AKTIF
;;Pajak;Rp9.620.618;Rp9.930.088;Rp9.184.646;Rp10.174.957;Rp11.117.583;Rp10.483.977;Rp11.449.550;Rp11.340.919;Rp10.541.637;Rp9.758.303;Rp10.116.900; Rp- ;Rp113.719.178;
;;Setor;Rp9.620.618;Rp9.930.088;Rp9.184.646;Rp10.174.957;Rp11.117.583;Rp10.483.977;Rp11.449.550;Rp11.340.919;Rp10.541.637;Rp9.758.303;Rp10.116.900; Rp- ;Rp113.719.178;
;;Denda; Rp- ; Rp- ;Rp367.386; Rp- ;Rp222.352;Rp104.840; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp694.578;
;;Setor Denda; Rp- ; Rp- ;Rp367.386; Rp- ;Rp222.352;Rp104.840; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp694.578;
120;32.78.1.0004681.02.002 / BEBEK & AYAM KAMPUNG MAS BUDI DJUANDA / JL. IR. H. DJUANDA;Omset;Rp46.719.920;Rp45.391.750;Rp42.510.420;Rp49.901.240; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp184.523.330;AKTIF
;;Pajak;Rp4.671.992;Rp4.539.175;Rp4.251.042;Rp4.990.124; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp18.452.333;
;;Setor;Rp4.671.992;Rp4.539.175;Rp4.251.042;Rp4.990.124; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp18.452.333;
;;Denda; Rp- ; Rp- ;Rp170.042; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp170.042;
;;Setor Denda; Rp- ; Rp- ;Rp170.042; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp170.042;
121;32.78.1.0004861.08.002 / WAROENG SAMBAL BAKAR / JL. TENTARA PELAJAR;Omset;Rp11.187.000;Rp9.654.000;Rp10.207.000;Rp12.350.000;Rp10.456.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp53.854.000;AKTIF
;;Pajak;Rp1.118.700;Rp965.400;Rp1.020.700;Rp1.235.000;Rp1.045.600; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.385.400;
;;Setor;Rp1.118.700;Rp965.400;Rp1.020.700;Rp1.235.000;Rp1.045.600; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.385.400;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
122;32.78.1.0004875.08.003 / SATE MANG IWA BKR / JL. BKR;Omset;Rp16.350.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp16.350.000;AKTIF
;;Pajak;Rp1.635.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.635.000;
;;Setor;Rp1.635.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.635.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
123;32.78.1.0005044.04.005 / RM. INCU MERGO / JL. RE MARTHADINATA NO. 272;Omset;Rp72.210.000;Rp65.514.000;Rp66.755.000;Rp58.055.000;Rp94.740.000;Rp103.580.000;Rp89.150.000;Rp73.530.000;Rp66.285.000;Rp75.640.000;Rp92.560.000; Rp- ;Rp858.019.000;AKTIF
;;Pajak;Rp7.221.000;Rp6.551.400;Rp6.675.500;Rp5.805.500;Rp9.474.000;Rp10.358.000;Rp8.915.000;Rp7.353.000;Rp6.628.500;Rp7.564.000;Rp9.256.000; Rp- ;Rp85.801.900;
;;Setor;Rp7.221.000;Rp6.551.400;Rp6.675.500;Rp5.805.500;Rp9.474.000;Rp10.358.000;Rp8.915.000;Rp7.353.000;Rp6.628.500;Rp7.564.000;Rp9.256.000; Rp- ;Rp85.801.900;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
124;32.78.1.0005061.06.005 / KAMPUNG KECIL / JL. IR. H. JUANDA NO. 16;Omset;Rp383.380.740;Rp322.731.020;Rp403.371.120;Rp237.528.220;Rp202.567.790;Rp214.891.140;Rp219.977.780;Rp211.111.820;Rp185.714.100;Rp189.849.750;Rp320.010.650; Rp- ;Rp2.891.134.130;AKTIF
;;Pajak;Rp38.338.074;Rp32.273.102;Rp40.337.112;Rp23.752.822;Rp20.256.779;Rp21.489.114;Rp21.997.778;Rp21.111.182;Rp18.571.410;Rp18.984.975;Rp32.001.065; Rp- ;Rp289.113.413;
;;Setor;Rp38.338.074;Rp32.273.102;Rp40.337.112;Rp23.752.822;Rp20.256.779;Rp21.489.114;Rp21.997.778;Rp21.111.182;Rp18.571.410;Rp18.984.975;Rp32.001.065; Rp- ;Rp289.113.413;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
125;32.78.1.0005100.02.003 / MATBHAKHI ARABIAN FOOD /  JL. HZ. MUSTOFA NO. 271;Omset;Rp40.906.250;Rp32.256.600;Rp32.350.950;Rp59.426.000;Rp88.052.130;Rp37.710.833;Rp32.810.036;Rp37.382.500;Rp39.171.173;Rp38.197.350;Rp35.424.338; Rp- ;Rp473.688.160;AKTIF
;;Pajak;Rp4.090.625;Rp3.225.660;Rp3.235.095;Rp5.942.600;Rp8.805.213;Rp3.771.083;Rp3.281.004;Rp3.738.250;Rp3.917.117;Rp3.819.735;Rp3.542.434; Rp- ;Rp47.368.816;
;;Setor;Rp4.090.625;Rp3.225.660;Rp3.235.095;Rp5.942.600;Rp8.805.213;Rp3.771.083;Rp3.281.004;Rp3.738.250;Rp3.917.117;Rp3.819.735;Rp3.542.434; Rp- ;Rp47.368.816;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
126;32.78.1.0005134.02.006 / HOKKY CHINESE SEAFOOD / JL. YUDANEGARA;Omset;Rp13.682.000;Rp12.425.000;Rp10.366.000;Rp10.814.000;Rp10.537.000;Rp8.953.000;Rp11.410.000;Rp10.430.000;Rp8.188.000;Rp8.170.000;Rp7.496.000; Rp- ;Rp112.471.000;AKTIF
;;Pajak;Rp1.368.200;Rp1.242.500;Rp1.036.600;Rp1.081.400;Rp1.053.700;Rp895.300;Rp1.141.000;Rp1.043.000;Rp818.800;Rp817.000;Rp749.600; Rp- ;Rp11.247.100;
;;Setor;Rp1.368.200;Rp1.242.500;Rp1.036.600;Rp1.081.400;Rp1.053.700;Rp895.300;Rp1.141.000;Rp1.043.000;Rp818.800;Rp817.000;Rp749.600; Rp- ;Rp11.247.100;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
127;32.78.1.0005193.03.003 / TO BABEH / JL. RE MARTADINATA NO. 12;Omset;Rp22.450.550;Rp3.611.650;Rp4.290.150;Rp15.232.450;Rp3.548.250; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp49.133.050;AKTIF
;;Pajak;Rp2.245.055;Rp361.165;Rp429.015;Rp1.523.245;Rp354.825; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp4.913.305;
;;Setor;Rp2.245.055;Rp361.165;Rp429.015;Rp1.523.245;Rp354.825; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp4.913.305;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
128;32.78.1.0005205.08.003 / HOKKY CHAINES / JL. HZ. MUSTOFA;Omset;Rp8.443.000;Rp8.014.000;Rp7.017.000;Rp9.111.000;Rp7.716.000;Rp5.764.000;Rp6.920.000;Rp6.390.000;Rp6.459.000;Rp5.817.000;Rp6.212.000; Rp- ;Rp77.863.000;AKTIF
;;Pajak;Rp844.300;Rp801.400;Rp701.700;Rp911.100;Rp771.600;Rp576.400;Rp692.000;Rp639.000;Rp645.900;Rp581.700;Rp621.200; Rp- ;Rp7.786.300;
;;Setor;Rp844.300;Rp801.400;Rp701.700;Rp911.100;Rp771.600;Rp576.400;Rp692.000;Rp639.000;Rp645.900;Rp581.700;Rp621.200; Rp- ;Rp7.786.300;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
129;32.78.1.0005217.08.002 / WARUNG NASI OMA / JL. EMPANG NO. 43;Omset;Rp5.450.600;Rp5.550.600;Rp5.054.500;Rp5.026.100;Rp5.261.100;Rp5.291.100;Rp5.291.100;Rp5.287.100;Rp5.477.100;Rp5.713.100; Rp- ; Rp- ;Rp53.402.400;AKTIF
;;Pajak;Rp545.060;Rp555.060;Rp505.450;Rp502.610;Rp526.110;Rp529.110;Rp529.110;Rp528.710;Rp547.710;Rp571.310; Rp- ; Rp- ;Rp5.340.240;
;;Setor;Rp545.060;Rp555.060;Rp505.450;Rp502.610;Rp526.110;Rp529.110;Rp529.110;Rp528.710;Rp547.710;Rp571.310; Rp- ; Rp- ;Rp5.340.240;
;;Denda; Rp- ;Rp11.101;Rp5.055; Rp- ; Rp- ;Rp5.292;Rp5.291; Rp- ;Rp5.478;Rp5.713; Rp- ; Rp- ;Rp37.930;
;;Setor Denda; Rp- ;Rp11.101;Rp5.055; Rp- ; Rp- ;Rp5.292;Rp5.291; Rp- ;Rp5.478;Rp5.713; Rp- ; Rp- ;Rp37.930;
130;32.78.1.0000208.02.004 / BAMBINO AP / Jl. HZ Mustofa Komplek Asia Plaza 5 Kelurahan Tugujaya Kecamatan Cihideung Kota Tasikmalaya;Omset;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000;Rp2.000.000; Rp- ;Rp22.000.000;AKTIF
;;Pajak;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000; Rp- ;Rp2.200.000;
;;Setor;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000;Rp200.000; Rp- ;Rp2.200.000;
